otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title	^physcraper:in_current_aln
otu251156	Pseudophilautus papillosus	169839	690703	-	None	True	deleted from tree in reconciliation	Philautus_papillosus	-	False
otu251147	Pseudophilautus cavirostris	820040	359527	-	None	True	deleted from tree in reconciliation	Philautus_cavirostris	-	False
otu251146	Pseudophilautus schmarda	714956	311820	-	None	True	deleted from tree in reconciliation	Philautus_schmarda	-	False
otu251148	Pseudophilautus lunatus	986378	690699	-	None	True	deleted from tree in reconciliation	Philautus_lunatus	-	False
otu251149	Pseudophilautus stuarti	188016	690709	-	None	True	deleted from tree in reconciliation	Philautus_stuarti	-	False
otu251150	Pseudophilautus popularis	530710	690706	-	None	True	deleted from tree in reconciliation	Philautus_popularis	-	False
otu251153	Philautus mooreorum	3618533	0	-	None	True	deleted from tree in reconciliation	Philautus_mooreorum	-	False
otu251151	Pseudophilautus femoralis	554582	209478	-	None	True	deleted from tree in reconciliation	Philautus_femoralis	-	False
otu251152	Pseudophilautus poppiae	18678	690705	-	None	True	deleted from tree in reconciliation	Philautus_poppiae	-	False
otu251163	Pseudophilautus decoris	986371	690697	-	None	True	deleted from tree in reconciliation	Philautus_decoris	-	False
otu251162	Pseudophilautus mittermeieri	18649	690700	-	None	True	deleted from tree in reconciliation	Philautus_mittermeieri	-	False
otu251161	Pseudophilautus tanu	965039	690710	-	None	True	deleted from tree in reconciliation	Philautus_tanu	-	False
otu251160	Pseudophilautus ocularis	169820	690702	-	None	True	deleted from tree in reconciliation	Philautus_ocularis	-	False
otu251157	Pseudophilautus hoffmani	986375	690698	-	None	True	deleted from tree in reconciliation	Philautus_hoffmanni	-	False
otu251158	Pseudophilautus asankai	986367	690696	-	None	True	deleted from tree in reconciliation	Philautus_asankai	-	False
otu251159	Pseudophilautus pleurotaenia	18669	690704	-	None	True	deleted from tree in reconciliation	Philautus_pleurotaenia	-	False
otu251186	Kurixalus hainanus	116907	670914	-	None	True	original	Kurixalus_hainanus	-	True
otu251187	Kurixalus odontotarsus	714942	311825	-	None	True	original	Kurixalus_odontotarsus	-	True
otu251188	Kurixalus carinensis	4133650	0	-	None	True	original	Philautus_carinensis	-	True
otu251191	Kurixalus banaensis	844915	359537	-	None	True	original	Philautus_banaensis	-	True
otu251190	Kurixalus eiffingeri	1000408	311779	-	None	True	original	Kurixalus_eiffingeri	-	True
otu251189	Kurixalus idiootocus	917456	356214	-	None	True	original	Kurixalus_idiootocus	-	True
otu251192	Theloderma moloch	638689	670925	-	None	True	original	Theloderma_moloch	-	True
otu251314	Mantella bernhardi	165052	143423	-	None	True	original	Mantella_bernhardi	-	True
otu251299	Mantella betsileo	730454	111070	-	None	True	original	Mantella_betsileo	-	True
otu251300	Mantella viridis	165063	143429	-	None	True	original	Mantella_viridis	-	True
otu251301	Mantella expectata	165061	143428	-	None	True	original	Mantella_expectata	-	True
otu251302	Mantella ebenaui	189965	410365	-	None	True	deleted from tree in reconciliation	Mantella_ebenaui	-	False
otu251304	Mantella laevigata	451901	111131	-	None	True	original	Mantella_laevigata	-	True
otu251303	Mantella manery	189963	410364	-	None	True	deleted from tree in reconciliation	Mantella_manery	-	False
otu251309	Mantella madagascariensis	84863	111290	-	None	True	original	Mantella_madagascariensis	-	True
otu251308	Mantella pulchra	83262	143522	-	None	True	original	Mantella_pulchra	-	True
otu251307	Mantella aurantiaca	38967	43514	-	None	True	original	Mantella_aurantiaca	-	True
