otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title	^physcraper:in_current_aln
otu261055	Stachyris nigrocapitata	1022703	1149673	-	2021/12/02	True	original	Stachyris_nigrocapitata_KUNHM_18040	-	True
otu261118	Stachyris nigrocapitata	1022703	1149673	-	2021/12/02	True	original	Stachyris_nigrocapitata_FMNH_449755	-	True
otu261311	Stachyris dennistouni	174120	181629	-	2021/12/02	True	original	Stachyris_dennistouni_KUNHM_20225	-	True
otu261065	Stachyris dennistouni	174120	181629	-	2021/12/02	True	original	Stachyris_dennistouni_KUNHM_20186	-	True
otu261318	Zosterops ugiensis	758767	589908	-	2021/12/02	True	original	Zosterops_ugiensis_KUNHM_12803	-	True
otu261269	Zosterops lateralis	819155	43581	-	2021/12/02	True	original	Zosterops_lateralis_KUNHM_6094	-	True
otu261099	Zosterops nigrorum	446691	135985	-	2021/12/02	True	original	Zosterops_nigrorum_FMNH_432997	-	True
otu261155	Zosterops maderaspatanus	587250	364591	-	2021/12/02	True	original	Zosterops_maderaspatanus_FMNH_345980	-	True
otu261179	Zosterops atricapilla	305496	573051	-	2021/12/02	True	original	Zosterops_atricapilla_LSUMNS_B36444	-	True
otu261223	Oculocincta squamifrons	265355	589852	-	2021/12/02	True	original	Oculocincta_squamifrons_LSUMNS_B51197	-	True
otu261234	Lophozosterops squamiceps	840024	589844	-	2021/12/02	True	original	Lophozosterops_squamiceps_AMNH_DOT12549	-	True
otu261228	Stachyris hypogrammica	265361	589858	-	2021/12/02	True	original	Stachyris_hypogrammica_FMNH_455063	-	True
otu261080	Stachyris whiteheadi	767078	98150	-	2021/12/02	True	original	Stachyris_whiteheadi_KUNHM_18001	-	True
otu261133	Stachyris whiteheadi	767078	98150	-	2021/12/02	True	original	Stachyris_whiteheadi_FMNH_429219	-	True
otu261265	Yuhina brunneiceps	697076	181635	-	2021/12/02	True	original	Yuhina_brunneiceps_AMNH_DOT5153	-	True
otu261174	Yuhina nigrimenta	697088	181639	-	2021/12/02	True	original	Yuhina_nigrimenta_KUNHM_11150	-	True
otu261243	Yuhina nigrimenta	697088	181639	-	2021/12/02	True	original	Yuhina_nigrimenta_KUNHM_9997	-	True
otu261274	Yuhina bakeri	1050510	340026	-	2021/12/02	True	original	Yuhina_bakeri_USNM_631884	-	True
otu261280	Yuhina flavicollis	697089	181638	-	2021/12/02	True	original	Yuhina_flavicollis_KUNHM_15170	-	True
otu261068	Yuhina occipitalis	19370	181640	-	2021/12/02	True	original	Yuhina_occipitalis_KUNHM_15177	-	True
otu261167	Chrysomma sinense	370024	201304	-	2021/12/02	True	original	Chrysomma_sinense_USNM_6101	-	True
otu261212	Chrysomma sinense	370024	201304	-	2021/12/02	True	original	Chrysomma_sinense_USNM_6172	-	True
otu261057	Alcippe vinipectus	360236	204796	-	2021/12/02	True	original	Fulvetta_vinipectus_AMNH_DOT5655	-	True
otu261317	Alcippe cinereiceps	977746	201300	-	2021/12/02	True	original	Fulvetta_cinereiceps_AMNH_DOT5181	-	True
otu261255	Alcippe vinipectus	360236	204796	-	2021/12/02	True	original	Fulvetta_vinipectus_CAS_95904	-	True
otu261056	Rhopophilus pekinensis	333272	330745	-	2021/12/02	True	original	Rhopophilus_pekinensis_USNM_526697	-	True
otu261221	Paradoxornis nipalensis	552302	201374	-	2021/12/02	True	original	Paradoxornis_nipalensis_AMNH_DOT5190	-	True
otu261062	Paradoxornis verreauxi	11420	634320	-	2021/12/02	True	original	Paradoxornis_verreauxi_KUNHM_11041	-	True
otu261306	Paradoxornis fulvifrons	1052197	1071652	-	2021/12/02	True	original	Paradoxornis_fulvifrons_CAS_95908	-	True
otu261146	Paradoxornis fulvifrons	1052197	1071652	-	2021/12/02	True	original	Paradoxornis_fulvifrons_CAS_95884	-	True
otu261270	Paradoxornis webbianus	802901	337173	-	2021/12/02	True	original	Paradoxornis_webbianus_KUNHM_13794	-	True
otu261222	Paradoxornis alphonsianus	225997	2485304	-	2021/12/02	True	original	Paradoxornis_alphonsianus_KUNHM_11096	-	True
otu261042	Paradoxornis webbianus	802901	337173	-	2021/12/02	True	original	Paradoxornis_webbianus_KUNHM_6740	-	True
otu261182	Conostoma aemodium	689062	1071682	-	2021/12/02	True	original	Conostoma_oemodium_FMNH_297082	-	True
otu261151	Conostoma aemodium	689062	1071682	-	2021/12/02	True	original	Conostoma_oemodium_FMNH_297083	-	True
otu261149	Paradoxornis gularis	552313	2485345	-	2021/12/02	True	original	Paradoxornis_gularis_KUNHM_6706	-	True
otu261145	Paradoxornis gularis	552313	2485345	-	2021/12/02	True	original	Paradoxornis_gularis_KUNHM_11037	-	True
otu261213	Paradoxornis ruficeps	1052184	1071657	-	2021/12/02	True	original	Paradoxornis_ruficeps_KUNHM_15116	-	True
otu261066	Chamaea fasciata	3599833	190680	-	2021/12/02	True	original	Chamaea_fasciata_SDSU_2188	-	True
otu261272	Chamaea fasciata	3599833	190680	-	2021/12/02	True	original	Chamaea_fasciata_SDSU_2220	-	True
otu261121	Alcippe chrysotis	1084794	201299	-	2021/12/02	True	original	Lioparus_chrysotis_KUNHM_11078	-	True
otu261049	Moupinia poecilotis	1488	1149629	-	2021/12/02	True	original	Chrysomma_poecilotis_FMNH_68881	-	True
otu261302	Myzornis pyrrhoura	482566	634318	-	2021/12/02	True	original	Myzornis_pyrrhoura_KUNHM_15109	-	True
otu261192	Lioptilus nigricapillus	601614	552920	-	2021/12/02	True	original	Lioptilus_nigricapillus_UWBM_53158	-	True
otu261172	Lioptilus nigricapillus	601614	552920	-	2021/12/02	True	original	Lioptilus_nigricapillus_UWBM_71300	-	True
otu261040	Pseudoalcippe atriceps	1073080	1149653	-	2021/12/02	True	original	Pseudoalcippe_atriceps_FMNH_358056	-	True
otu261271	Pseudoalcippe atriceps	1073080	1149653	-	2021/12/02	True	original	Pseudoalcippe_atriceps_FMNH_355697	-	True
otu261233	Horizorhinus dohrni	328260	2575933	-	2021/12/02	True	original	Horizorhinus_dohrni_Genbank	-	True
otu261299	Sylvia borin	261410	73324	-	2021/12/02	True	original	Sylvia_borin_KUNHM_15471	-	True
otu261159	Pycnonotus plumosus	108244	270475	-	2021/12/02	True	original	Pycnonotus_plumosus_KUNHM_12667	-	True
otu261154	Criniger bres	122201	182882	-	2021/12/02	True	original	Alophoixus_bres_KUNHM_17701	-	True
otu261051	Melocichla mentalis	106895	330760	-	2021/12/02	True	original	Melocichla_mentalis_KUNHM_15406	-	True
otu261031	Malia grata	496789	1149646	-	None	False	original	Malia_grata_AMNH_299482	-	True
otu261240	Megalurus timoriensis	964908	980225	-	None	False	original	Megalurus_timoriensis_KUNHM_16461	-	True
otu261242	Napothera rabori	446183	1149667	-	None	False	original	Robsonius_rabori_FMNH_433008	-	True
otu261059	Orthotomus sericeus	28216	946199	-	None	False	original	Orthotomus_sericeus_KUNHM_17792	-	True
otu261252	Micromacronus leytensis	796101	1149648	-	None	False	original	Micromacronus_leytensis_USNM_579793	-	True
otu261030	Leonardina woodi	496781	1149640	-	None	False	original	Leonardina_woodi_KUNHM_19115	-	True
otu261050	Erpornis zantholeuca	602539	1112836	-	None	False	original	Erpornis_zantholeuca_KUNHM_10015	-	True
otu261073	Erpornis zantholeuca	602539	1112836	-	None	False	original	Erpornis_zantholeuca_KUNHM_13848	-	True
